coverage,accuracy
0.0005,0.0
0.001,0.0
0.0015,0.33333333333333337
0.002,0.5
0.0025,0.6
0.003,0.6666666666666667
0.0035,0.7142857142857143
0.004,0.625
0.0045,0.5555555555555556
0.005,0.6
0.0055,0.5454545454545454
0.006,0.5833333333333333
0.0065,0.5384615384615384
0.007,0.5714285714285714
0.0075,0.5333333333333333
0.008,0.5625
0.0085,0.5882352941176471
0.009,0.5555555555555556
0.0095,0.5789473684210527
0.01,0.6
0.0105,0.6190476190476191
0.011,0.5909090909090908
0.0115,0.6086956521739131
0.012,0.5833333333333333
0.0125,0.6
0.013,0.6153846153846154
0.0135,0.5925925925925926
0.014,0.5714285714285714
0.0145,0.5862068965517242
0.015,0.6
0.0155,0.6129032258064516
0.016,0.625
0.0165,0.6060606060606061
0.017,0.5882352941176471
0.0175,0.5714285714285714
0.018,0.5555555555555556
0.0185,0.5675675675675675
0.019,0.5526315789473684
0.0195,0.5384615384615384
0.02,0.55
0.0205,0.5365853658536586
0.021,0.5476190476190477
0.0215,0.5581395348837209
0.022,0.5681818181818181
0.0225,0.5777777777777777
0.023,0.5869565217391304
0.0235,0.574468085106383
0.024,0.5625
0.0245,0.5510204081632653
0.025,0.54
0.0255,0.5294117647058824
0.026,0.5192307692307692
0.0265,0.5283018867924528
0.027,0.5185185185185186
0.0275,0.509090909090909
0.028,0.5
0.0285,0.49122807017543857
0.029,0.5
0.0295,0.5084745762711864
0.03,0.5166666666666666
0.0305,0.5081967213114754
0.031,0.5161290322580645
0.0315,0.5238095238095238
0.032,0.515625
0.0325,0.523076923076923
0.033,0.5151515151515151
0.0335,0.5074626865671642
0.034,0.5
0.0345,0.49275362318840576
0.035,0.48571428571428577
0.0355,0.47887323943661975
0.036,0.4722222222222222
0.0365,0.4794520547945206
0.037,0.472972972972973
0.0375,0.48
0.038,0.4736842105263158
0.0385,0.48051948051948057
0.039,0.47435897435897434
0.0395,0.4810126582278481
0.04,0.475
0.0405,0.4691358024691358
0.041,0.46341463414634143
0.0415,0.45783132530120485
0.042,0.45238095238095233
0.0425,0.45882352941176474
0.043,0.4651162790697675
0.0435,0.45977011494252873
0.044,0.46590909090909094
0.0445,0.4719101123595506
0.045,0.47777777777777775
0.0455,0.48351648351648346
0.046,0.4782608695652174
0.0465,0.4731182795698925
0.047,0.46808510638297873
0.0475,0.4631578947368421
0.048,0.46875
0.0485,0.4742268041237113
0.049,0.4693877551020408
0.0495,0.4747474747474747
0.05,0.48
0.0505,0.4752475247524752
0.051,0.47058823529411764
0.0515,0.46601941747572817
0.052,0.46153846153846156
0.0525,0.4571428571428572
0.053,0.46226415094339623
0.0535,0.4672897196261683
0.054,0.4629629629629629
0.0545,0.4678899082568807
0.055,0.4727272727272728
0.0555,0.4774774774774775
0.056,0.4732142857142857
0.0565,0.4690265486725663
0.057,0.4736842105263158
0.0575,0.4695652173913043
0.058,0.4655172413793104
0.0585,0.4700854700854701
0.059,0.47457627118644063
0.0595,0.47058823529411764
0.06,0.4666666666666667
0.0605,0.47107438016528924
0.061,0.47540983606557374
0.0615,0.4715447154471545
0.062,0.47580645161290325
0.0625,0.48
0.063,0.47619047619047616
0.0635,0.4803149606299213
0.064,0.484375
0.0645,0.48062015503875966
0.065,0.4769230769230769
0.0655,0.48091603053435117
0.066,0.4772727272727273
0.0665,0.48120300751879697
0.067,0.4776119402985075
